[ 1.21036567e+00  1.58392163e+00  5.06860513e+02 -6.50422537e+04]
[ 1.19819969e+00  2.91774075e+00 -7.22362650e+02  9.93014024e+04]
[ 1.14593153e+00  2.46912539e+00  7.95303167e+02 -1.23378888e+05]
[ 1.14088129e+00  1.16198720e+00 -5.81434281e+02  1.12628224e+05]
[ 1.09333357e+00  5.88733957e+00 -1.96572149e+02 -3.16828450e+04]
[ 1.03277511e+00  2.08860148e+00  8.25937277e+02 -8.47033621e+04]
[ 1.03234719e+00  8.84055249e-01 -6.25123879e+02  1.20955308e+05]
[ 9.96037347e-01  3.64195650e+00  1.62481492e+02 -6.60610362e+04]
[9.61923178e-01 2.31606951e+00 6.13196800e+01 8.53773070e+03]
[ 9.36577412e-01  2.18594560e+00 -3.92196037e+01  8.53773070e+03]
[ 9.08731710e-01  2.53631013e+00 -2.06531782e+01 -1.58638139e+03]
[ 8.78248109e-01  2.66922659e+00 -2.20030739e+00 -1.58638139e+03]
[ 8.47650362e-01  2.58864706e+00  1.61400461e+01 -1.58638139e+03]
[  0.81882577   2.44088714   9.5778061  571.08419722]
[  0.79143078   2.36874429   3.05533813 571.08419722]
[  0.76459797   2.37085797  -3.4277199  571.08419722]
[  0.7374907    2.44589213  -9.87172319 571.08419722]
[  0.70930227   2.59253476 -16.27702353 571.08419722]
[ 6.79559589e-01  2.72751774e+00 -7.93761579e+00 -7.48004484e+02]
[ 6.49014629e-01  2.76955081e+00  3.52004029e-01 -7.48004484e+02]
[  0.61853049   2.76435685   0.59095057 -21.69017882]
[  0.58829829   2.75658478   0.828479   -21.69017882]
[  0.55834339   2.74628058   1.06460197 -21.69017882]
[  0.52870265   2.73004467   1.93595221 -80.51697869]
[  0.49946079   2.7045576    2.80217681 -80.51697869]
[  0.47071173   2.66998274   3.66332103 -80.51697869]
[  0.44254596   2.62648061   4.51942924 -80.51697869]
[  0.41505072   2.57420891   5.37054556 -80.51697869]
[  0.38831002   2.51332258   6.21671355 -80.51697869]
[ 3.62257114e-01  2.48637723e+00 -1.05885302e+00  6.96342145e+02]
[ 3.36241729e-01  2.53494685e+00 -8.29236470e+00  6.96342145e+02]
[ 3.09490687e-01  2.65772891e+00 -1.54841843e+01  6.96342145e+02]
[ 2.81257394e-01  2.85344334e+00 -2.26346718e+01  6.96342145e+02]
[ 2.50821089e-01  3.12083202e+00 -2.97441823e+01  6.96342145e+02]
[ 2.18405898e-01  3.18683606e+00  1.67403211e+01 -4.57909852e+03]
[ 1.87876794e-01  2.78460431e+00  6.29599557e+01 -4.57909852e+03]
[1.62700943e-01 2.27220060e+00 3.91505321e+01 2.37234026e+03]
[1.41582267e-01 1.99963063e+00 1.54760045e+01 2.37234026e+03]
[ 1.22115503e-01  1.96285971e+00 -8.06476585e+00  2.37234026e+03]
[ 1.02598309e-01  1.96850628e+00  6.92024151e+00 -1.51868205e+03]
[ 8.38561410e-02  1.82750606e+00  2.18210623e+01 -1.51868205e+03]
[ 6.72993887e-02  1.54232000e+00  3.66384041e+01 -1.51868205e+03]
[ 5.42910889e-02  1.11536781e+00  5.13729686e+01 -1.51868205e+03]
[ 4.61482486e-02  5.49028816e-01  6.60254469e+01 -1.51868205e+03]
[ 4.38291194e-02 -5.61759778e-02  6.01304654e+01  6.14409187e+02]
[ 4.70132538e-02 -6.01937249e-01  5.42681434e+01  6.14409187e+02]
[ 5.50803804e-02 -1.08921121e+00  4.84382100e+01  6.14409187e+02]
[ 6.74291800e-02 -1.51893848e+00  4.26403967e+01  6.14409187e+02]
[ 8.34767724e-02 -1.89204412e+00  3.68744405e+01  6.14409187e+02]
[ 1.02658239e-01 -2.20943839e+00  3.11400779e+01  6.14409187e+02]
